Node1	Node2	Tags
ELF	RAD	in_to_out right module_1
ELF	HOW	inner right module_1
ELF	NOM	inner right module_1
FRO	RAW	outer right module_1
FRO	WHO	in_to_out right module_1
FRO	GUN	in_to_out right module_1
GAL	PIE	in_to_out right module_1
GAL	HOW	in_to_out right module_1
GAL	WAR	outer right module_1
GAL	RAD	outer right module_1
GUN	JOY	in_to_out right module_1
GUN	RAW	in_to_out right module_1
GUN	WHO	inner right module_1
GUN	NOM	inner right module_1
GUN	SPY	inner right module_1
HOW	PIE	inner right module_1
JOY	NOM	in_to_out right module_1
JOY	SPY	in_to_out right module_1
JOY	RAW	outer right module_1
LEG	OVA	outer right module_1
LEG	SPY	in_to_out right module_1
LEG	WHO	in_to_out right module_1
LEG	RAW	outer right module_1
LEG	NIX	in_to_out right module_1
NIX	SPY	inner right module_1
NIX	OVA	in_to_out right module_1
NIX	WHO	ground inner right module_1
NIX	PIE	ground inner right module_1
NOM	SPY	inner right module_1
OVA	PIE	in_to_out right module_1
OVA	RAD	outer right module_1
OVA	SPY	in_to_out right module_1
PIE	RAD	in_to_out right module_1
PIE	SPY	inner right module_1
RAD	SPY	in_to_out right module_1
RAW	SPY	in_to_out right module_1
RAW	WHO	in_to_out right module_1
SPY	WHO	inner right module_1
AGO	ALA	in_to_out left module_3
AGO	MIX	in_to_out left module_3
AGO	OAR	in_to_out left module_3
AGO	TAX	inner left module_3
AGO	MOM	inner left module_3
AGO	FLY	in_to_out left module_3
AGO	OIL	inner left module_3
AGO	GUT	inner left module_3
AIM	MOM	in_to_out left module_3
AIM	LID	ground in_to_out left module_3
AIM	EGO	outer left module_3
AIM	WAX	ground in_to_out left module_3
AIM	MIX	outer left module_3
ALA	OIL	in_to_out left module_3
ALA	INK	outer left module_3
ALA	FLY	outer left module_3
ALA	GUT	in_to_out left module_3
ALA	MIX	outer left module_3
EGO	GYM	in_to_out left module_3
EGO	MOM	in_to_out left module_3
EGO	LID	in_to_out left module_3
EGO	OAR	outer left module_3
FLY	OAR	outer left module_3
FLY	TAX	in_to_out left module_3
GUT	INK	in_to_out left module_3
GUT	MAY	in_to_out left module_3
GUT	HEX	in_to_out left module_3
GUT	WAX	inner left module_3
GUT	MIX	in_to_out left module_3
GUT	RUM	inner left module_3
GUT	SIP	inner left module_3
GUT	OIL	inner left module_3
GUT	MOM	inner left module_3
GYM	OAR	in_to_out left module_3
GYM	MOM	inner left module_3
GYM	LID	inner left module_3
HEX	SIP	in_to_out left module_3
HEX	MAY	outer left module_3
HEX	WAX	in_to_out left module_3
HEX	MIX	outer left module_3
INK	MAY	outer left module_3
INK	RUM	in_to_out left module_3
INK	OIL	in_to_out left module_3
LID	MOM	inner left module_3
LID	WAX	ground inner left module_3
MAY	RUM	in_to_out left module_3
MAY	SIP	in_to_out left module_3
MIX	MOM	in_to_out left module_3
MIX	OAR	outer left module_3
MIX	WAX	in_to_out left module_3
MOM	OAR	in_to_out left module_3
MOM	TAX	inner left module_3
MOM	WAX	inner left module_3
OAR	TAX	in_to_out left module_3
OIL	TAX	inner left module_3
RUM	SIP	ground inner left module_3
SIP	WAX	ground inner left module_3
ASK	ORC	outer right module_2
ASK	GUN	in_to_out right module_2
ASK	TUB	outer right module_2
ASK	OFF	in_to_out right module_2
ASK	TAG	in_to_out right module_2
BAH	ETA	in_to_out right module_2
BAH	CIS	in_to_out right module_2
BAH	BOY	outer right module_2
BOY	FOX	outer right module_2
BOY	ETA	in_to_out right module_2
BOY	TAG	in_to_out right module_2
BOY	CIS	in_to_out right module_2
BOY	ORC	outer right module_2
CIS	ORC	in_to_out right module_2
CIS	ETA	inner right module_2
CIS	TAG	inner right module_2
CIS	OFF	ground inner right module_2
DIG	GUN	in_to_out right module_2
DIG	NOM	in_to_out right module_2
DIG	HIT	outer right module_2
DIG	DUI	in_to_out right module_2
DIG	TUB	outer right module_2
DUI	HIT	in_to_out right module_2
DUI	SKY	in_to_out right module_2
DUI	TUB	in_to_out right module_2
DUI	GUN	inner right module_2
DUI	SUN	in_to_out right module_2
DUI	TAG	inner right module_2
DUI	IVY	inner right module_2
DUI	NOM	inner right module_2
ETA	TUX	in_to_out right module_2
ETA	IVY	inner right module_2
ETA	FOX	in_to_out right module_2
ETA	TAG	inner right module_2
FOX	SKY	outer right module_2
FOX	IVY	in_to_out right module_2
FOX	TUX	outer right module_2
FOX	TAG	in_to_out right module_2
GUN	OFF	inner right module_2
GUN	TAG	inner right module_2
GUN	TUB	in_to_out right module_2
IVY	TUX	in_to_out right module_2
IVY	SKY	in_to_out right module_2
IVY	TAG	inner right module_2
OFF	TAG	inner right module_2
OFF	ORC	in_to_out right module_2
ORC	TAG	in_to_out right module_2
SKY	SUN	outer right module_2
SKY	TUB	outer right module_2
SKY	TAG	in_to_out right module_2
TAG	TUB	in_to_out right module_2
DUB	WAR	outer right module_5
HOW	WAR	in_to_out mid module_5
FLY	OIL	in_to_out left module_5
OIL	RUM	inner left module_5
ADO	JOB	in_to_out mid module_5
ADO	DUB	in_to_out right module_5
ADO	BOA	in_to_out mid module_5
ADO	REF	inner mid module_5
ADO	TOY	in_to_out right module_5
ADO	NIL	inner right module_5
ADO	NAY	in_to_out mid module_5
ADO	WAR	in_to_out right module_5
ADO	HOW	inner mid module_5
ADO	PLY	inner mid module_5
BOA	REF	in_to_out mid module_5
BOA	WAR	outer mid module_5
BOA	SHY	outer mid module_5
BOA	NAY	outer mid module_5
BOA	HOW	in_to_out mid module_5
DRY	OIL	in_to_out left module_5
DRY	VOW	in_to_out left module_5
DRY	REF	in_to_out left module_5
DRY	SHY	outer left module_5
DRY	FLY	outer left module_5
DRY	FUN	outer left module_5
DUB	TOY	outer right module_5
FLY	VOW	in_to_out left module_5
FUN	NAY	outer left module_5
FUN	PLY	in_to_out left module_5
FUN	REF	in_to_out left module_5
FUN	VOW	in_to_out left module_5
HOW	REF	inner mid module_5
HOW	RUM	inner mid module_5
HOW	SHY	in_to_out mid module_5
JOB	NAY	outer mid module_5
JOB	NIL	in_to_out mid module_5
JOB	JUG	outer mid module_5
JOB	TOY	outer mid module_5
JOB	PLY	in_to_out mid module_5
JUG	NIL	in_to_out mid module_5
NAY	PLY	in_to_out left module_5
NAY	REF	in_to_out left module_5
NIL	PLY	inner mid module_5
OIL	VOW	inner left module_5
OIL	SHY	in_to_out left module_5
OIL	REF	inner left module_5
PLY	REF	inner left module_5
REF	RUM	inner left module_5
REF	VOW	inner left module_5
REF	SHY	in_to_out left module_5
RUM	SHY	in_to_out left module_5
GYM	TAX	inner left module_4
BAR	CUP	in_to_out left module_4
BAR	FLU	outer left module_4
BAR	DOG	outer left module_4
BED	ICE	in_to_out left module_4
BED	DOG	in_to_out left module_4
BED	SAY	in_to_out left module_4
BED	GIN	inner left module_4
BED	PAW	in_to_out left module_4
BED	CUP	inner left module_4
BED	DAY	inner left module_4
BOX	HUG	ground in_to_out left module_4
BOX	GYM	in_to_out left module_4
BOX	VAN	outer left module_4
CUP	VAN	in_to_out left module_4
CUP	DOG	in_to_out left module_4
CUP	DAY	inner left module_4
CUP	FLU	in_to_out left module_4
CUP	HUG	inner left module_4
CUP	GYM	inner left module_4
CUP	PAW	in_to_out left module_4
DAY	TAX	inner left module_4
DAY	PAW	in_to_out left module_4
DAY	SAY	in_to_out left module_4
DAY	ZIG	in_to_out left module_4
DAY	GIN	inner left module_4
DAY	GYM	inner left module_4
DOG	PAW	outer left module_4
FLU	HUG	ground in_to_out left module_4
FLU	VAN	outer left module_4
GIN	WIZ	in_to_out left module_4
GIN	SAY	in_to_out left module_4
GIN	TAX	inner left module_4
GYM	VAN	in_to_out left module_4
GYM	PAW	in_to_out left module_4
GYM	HUG	inner left module_4
GYM	ZIG	in_to_out left module_4
HUG	VAN	in_to_out left module_4
ICE	SAY	outer left module_4
PAW	SAY	outer left module_4
PAW	ZIG	outer left module_4
PAW	VAN	outer left module_4
SAY	TAX	in_to_out left module_4
SAY	WIZ	outer left module_4
SAY	ZIG	outer left module_4
TAX	WIZ	in_to_out left module_4
TAX	ZIG	in_to_out left module_4
NOM	WET	inner right module_7
HIT	SUN	outer right module_7
HIT	NOM	in_to_out right module_7
IVY	SUN	in_to_out right module_7
NIL	TOY	in_to_out right module_7
ACE	WET	inner right module_7
ACE	BRO	in_to_out right module_7
ACE	EYE	in_to_out right module_7
ACE	IVY	inner right module_7
ACE	FIX	inner right module_7
ACE	YES	inner right module_7
ACE	SUN	in_to_out right module_7
ACE	POP	in_to_out right module_7
ACE	EON	in_to_out right module_7
ACE	NOM	inner right module_7
ACE	HIT	in_to_out right module_7
AHI	NIL	in_to_out right module_7
AHI	YES	in_to_out right module_7
AHI	ERA	in_to_out right module_7
AHI	IRE	outer right module_7
AHI	EON	outer right module_7
BRO	WET	in_to_out right module_7
BRO	EON	outer right module_7
BRO	HIT	outer right module_7
BRO	NOM	in_to_out right module_7
EON	YES	in_to_out right module_7
EON	WET	in_to_out right module_7
EON	POP	outer right module_7
EON	NIL	in_to_out right module_7
EON	TOY	outer right module_7
ERA	YES	inner right module_7
ERA	NIL	inner right module_7
EYE	SUN	outer right module_7
EYE	FIX	in_to_out right module_7
EYE	IVY	in_to_out right module_7
EYE	POP	outer right module_7
FIX	POP	in_to_out right module_7
FIX	IVY	inner right module_7
FIX	YES	inner right module_7
IRE	YES	in_to_out right module_7
IRE	MAC	outer right module_7
MAC	POP	outer right module_7
MAC	YES	in_to_out right module_7
NIL	WET	inner right module_7
NIL	YES	inner right module_7
POP	YES	in_to_out right module_7
TOY	WET	in_to_out right module_7
WET	YES	inner right module_7
GIN	ICE	in_to_out left module_6
JUG	PLY	in_to_out mid module_6
PLY	VOW	inner left module_6
ACT	TRY	in_to_out left module_6
ACT	DUH	in_to_out left module_6
ACT	NAN	inner left module_6
ACT	TAU	inner left module_6
ACT	SOY	inner left module_6
ACT	HAM	in_to_out left module_6
ACT	LAX	inner left module_6
DUH	TRY	outer left module_6
DUH	NAN	in_to_out left module_6
DUH	MOP	outer left module_6
DUH	SOY	in_to_out left module_6
DUH	HAM	outer left module_6
ERA	JUG	in_to_out mid module_6
ERA	SOY	inner mid module_6
ERA	PLY	inner mid module_6
FAN	VOW	in_to_out left module_6
FAN	MOP	outer left module_6
FAN	PLY	in_to_out left module_6
FAN	ZZZ	outer left module_6
FAN	NAN	in_to_out left module_6
FOG	TRY	outer left module_6
FOG	SOY	in_to_out left module_6
GIN	NAN	inner left module_6
GIN	LAX	inner left module_6
GIN	ZZZ	in_to_out left module_6
GIN	VOW	inner left module_6
GIN	HAM	in_to_out left module_6
HAM	NAN	in_to_out left module_6
HAM	LAX	in_to_out left module_6
HAM	ZZZ	outer left module_6
HAM	ICE	outer left module_6
ICE	LAX	in_to_out left module_6
JUG	RIB	outer mid module_6
JUG	SOY	in_to_out mid module_6
JUG	MOP	outer mid module_6
LAX	NAN	inner left module_6
MOP	SOY	in_to_out left module_6
MOP	NAN	in_to_out left module_6
MOP	PLY	in_to_out left module_6
NAN	VOW	inner left module_6
NAN	SOY	inner left module_6
NAN	PLY	inner left module_6
NAN	ZZZ	in_to_out left module_6
PLY	SOY	inner left module_6
RIB	SOY	in_to_out mid module_6
SOY	TRY	in_to_out left module_6
SOY	TAU	inner left module_6
TAU	TRY	in_to_out left module_6
VOW	ZZZ	in_to_out left module_6
AGE	KIT	in_to_out left module_9
AGE	BED	inner left module_9
AGE	CHI	in_to_out left module_9
AGE	DOG	in_to_out left module_9
AGE	COY	inner left module_9
AGE	BAR	in_to_out left module_9
AGE	SIR	inner left module_9
AGE	ONO	in_to_out left module_9
AGE	ELK	inner left module_9
BAR	SIR	in_to_out left module_9
BAR	ONO	outer left module_9
BED	CHI	in_to_out left module_9
CHI	COY	in_to_out left module_9
CHI	DOG	outer left module_9
CHI	KIT	outer left module_9
COP	USE	in_to_out left module_9
COP	TAT	ground inner left module_9
COP	ELK	inner left module_9
COY	ELK	inner left module_9
COY	KIT	in_to_out left module_9
ELK	WIG	in_to_out left module_9
ELK	SIR	inner left module_9
ELK	NOR	inner left module_9
ELK	USE	in_to_out left module_9
ELK	KIT	in_to_out left module_9
ELK	TAT	inner left module_9
ELK	WOW	inner left module_9
ELK	ONO	in_to_out left module_9
KEY	WOW	in_to_out left module_9
KEY	WIG	outer left module_9
KIT	NOR	in_to_out left module_9
KIT	WIG	outer left module_9
KIT	ONO	outer left module_9
NOR	WIG	in_to_out left module_9
NOR	WOW	inner left module_9
ONO	SIR	ground in_to_out left module_9
ONO	USE	outer left module_9
ONO	TAT	ground in_to_out left module_9
SIR	TAT	ground inner left module_9
TAT	USE	in_to_out left module_9
USE	WOW	in_to_out left module_9
USE	WIG	outer left module_9
WIG	WOW	in_to_out left module_9
AMP	YAY	ground in_to_out right module_8
AMP	SAW	outer right module_8
BAH	WIN	outer right module_8
BAH	BAM	in_to_out right module_8
BAM	JAR	inner right module_8
BAM	YAY	ground inner right module_8
BAM	HAY	ground in_to_out right module_8
BAM	ETA	inner right module_8
BAM	WIN	in_to_out right module_8
ETA	LUG	inner right module_8
ETA	PAY	in_to_out right module_8
ETA	JAR	inner right module_8
ETA	WIN	in_to_out right module_8
HAY	JAR	in_to_out right module_8
HAY	WIN	outer right module_8
HAY	YAY	ground in_to_out right module_8
HAY	SAW	outer right module_8
JAR	TAR	inner right module_8
JAR	WIN	in_to_out right module_8
JAR	PAY	in_to_out right module_8
JAR	LUG	inner right module_8
JAR	YAY	inner right module_8
JAR	WHY	in_to_out right module_8
JAR	SAW	in_to_out right module_8
KEG	WHY	outer right module_8
LUG	PAY	in_to_out right module_8
LUG	TUX	in_to_out right module_8
LUG	WHY	in_to_out right module_8
PAY	TUX	outer right module_8
PAY	WHY	outer right module_8
PAY	WIN	outer right module_8
PHI	SEX	in_to_out right module_8
PHI	SAW	outer right module_8
SAW	TAR	in_to_out right module_8
SAW	SEX	in_to_out right module_8
SAW	YAY	in_to_out right module_8
SAW	WHY	outer right module_8
SEX	TAR	inner right module_8
SEX	YAY	inner right module_8
TAR	WHY	in_to_out right module_8
TAR	YAY	inner right module_8
ACE	DUI	inner right module_7
ADO	WET	inner right module_5
ADO	ELF	inner right module_5
AGE	CUP	inner left module_9
AHI	JUG	outer mid module_7
ALL	PRO	outer left module_10
ARM	BRO	outer right module_1
ART	KIT	outer left module_12
ASH	HAM	outer left module_12
ASK	FRO	outer right module_2
BAM	CIS	ground inner right module_8
BOX	LID	ground in_to_out left module_4
BOX	EGO	outer left module_4
BUG	TAU	inner left module_12
BUG	ZAP	inner left module_12
CAB	YAY	ground inner right module_10
CHI	MAD	outer left module_9
CUP	SIR	inner left module_4
DIG	JOY	outer right module_2
EVE	FAX	outer right module_14
EYE	GAS	outer right module_7
FAN	FUN	outer left module_6
FLU	SIR	ground in_to_out left module_4
FLY	WIZ	outer left module_5
FRO	OFF	in_to_out right module_1
GAS	IVY	in_to_out right module_11
GAS	TUX	outer right module_11
GEL	PHI	outer right module_10
GIG	YES	inner right module_14
HUG	SIR	ground inner left module_4
HUG	LID	ground inner left module_4
ICE	MAD	outer left module_6
INK	SHY	outer left module_3
IVY	LUG	inner right module_7
JAM	MOO	outer right module_13
KEY	SAD	outer left module_9
LAM	TAU	in_to_out left module_12
LAM	TRY	outer left module_12
LAW	SOY	inner mid module_14
NEW	USE	outer left module_10
OAR	ZIG	outer left module_3
OFF	WHO	ground inner right module_2
PIE	RUM	ground inner mid module_1
TAX	VOW	inner left module_4
VOW	WIZ	in_to_out left module_6
WIZ	ZZZ	outer left module_4
